pair,buy_tp_above_yh_pips,sell_tp_after_buytp_below_yh_pips,sell_sl_above_yh_pips,shared_selltp_buysl_offset_from_yl_pips,traded_days,total_pips,raw_pips_per_day,total_weighted_pips,weighted_pips_per_day_per_100_units
EURJPY,15,15,250,-20,55,-939.4,-1.2868,-126976.0,-1.7394
EURJPY,15,15,250,-10,55,-764.4,-1.0471,-97911.0,-1.3412
EURJPY,15,15,250,0,55,-447.5,-0.613,-53483.0,-0.7326
EURJPY,15,15,250,10,55,-537.5,-0.7363,-65546.0,-0.8979
EURJPY,15,15,250,20,55,-747.5,-1.024,-86981.0,-1.1915
EURJPY,15,15,300,-20,55,-1040.4,-1.4252,-140106.0,-1.9193
EURJPY,15,15,300,-10,55,-815.4,-1.117,-104541.0,-1.4321
EURJPY,15,15,300,0,55,-499.2,-0.6838,-60204.0,-0.8247
EURJPY,15,15,300,10,55,-589.2,-0.8071,-72267.0,-0.99
EURJPY,15,15,300,20,55,-799.2,-1.0948,-93702.0,-1.2836
EURJPY,15,15,350,-20,55,-1081.6,-1.4816,-145462.0,-1.9926
EURJPY,15,15,350,-10,55,-806.6,-1.1049,-103397.0,-1.4164
EURJPY,15,15,350,0,55,-490.4,-0.6718,-59060.0,-0.809
EURJPY,15,15,350,10,55,-580.4,-0.7951,-71123.0,-0.9743
EURJPY,15,15,350,20,55,-790.4,-1.0827,-92558.0,-1.2679
EURJPY,15,15,400,-20,55,-1131.6,-1.5501,-151962.0,-2.0817
EURJPY,15,15,400,-10,55,-806.6,-1.1049,-103397.0,-1.4164
EURJPY,15,15,400,0,55,-490.4,-0.6718,-59060.0,-0.809
EURJPY,15,15,400,10,55,-580.4,-0.7951,-71123.0,-0.9743
EURJPY,15,15,400,20,55,-790.4,-1.0827,-92558.0,-1.2679
EURJPY,15,20,150,-20,55,-705.0,-0.9658,-96504.0,-1.322
EURJPY,15,20,150,-10,55,-640.0,-0.8767,-81739.0,-1.1197
EURJPY,15,20,150,0,55,-440.0,-0.6027,-52508.0,-0.7193
EURJPY,15,20,150,10,55,-545.0,-0.7466,-66521.0,-0.9112
EURJPY,15,20,150,20,55,-620.0,-0.8493,-70406.0,-0.9645
EURJPY,15,20,200,-20,55,-992.1,-1.359,-133827.0,-1.8332
EURJPY,15,20,200,-10,55,-877.1,-1.2015,-112562.0,-1.5419
EURJPY,15,20,200,0,55,-577.1,-0.7905,-70331.0,-0.9634
EURJPY,15,20,200,10,55,-682.1,-0.9344,-84344.0,-1.1554
EURJPY,15,20,200,20,55,-707.1,-0.9686,-81729.0,-1.1196
EURJPY,15,20,250,-20,55,-1086.8,-1.4888,-146138.0,-2.0019
EURJPY,15,20,250,-10,55,-921.8,-1.2627,-118373.0,-1.6215
EURJPY,15,20,250,0,55,-614.9,-0.8423,-75245.0,-1.0308
EURJPY,15,20,250,10,55,-719.9,-0.9862,-89258.0,-1.2227
EURJPY,15,20,250,20,55,-741.1,-1.0152,-86149.0,-1.1801
EURJPY,15,20,300,-20,55,-1187.8,-1.6271,-159268.0,-2.1818
EURJPY,15,20,300,-10,55,-972.8,-1.3326,-125003.0,-1.7124
EURJPY,15,20,300,0,55,-666.6,-0.9132,-81966.0,-1.1228
EURJPY,15,20,300,10,55,-771.6,-1.057,-95979.0,-1.3148
EURJPY,15,20,300,20,55,-792.8,-1.086,-92870.0,-1.2722
EURJPY,15,20,350,-20,55,-1229.0,-1.6836,-164624.0,-2.2551
EURJPY,15,20,350,-10,55,-964.0,-1.3205,-123859.0,-1.6967
EURJPY,15,20,350,0,55,-657.8,-0.9011,-80822.0,-1.1072
EURJPY,15,20,350,10,55,-762.8,-1.0449,-94835.0,-1.2991
EURJPY,15,20,350,20,55,-784.0,-1.074,-91726.0,-1.2565
EURJPY,15,20,400,-20,55,-1279.0,-1.7521,-171124.0,-2.3442
EURJPY,15,20,400,-10,55,-964.0,-1.3205,-123859.0,-1.6967
EURJPY,15,20,400,0,55,-657.8,-0.9011,-80822.0,-1.1072
EURJPY,15,20,400,10,55,-762.8,-1.0449,-94835.0,-1.2991
EURJPY,15,20,400,20,55,-784.0,-1.074,-91726.0,-1.2565
EURJPY,15,25,150,-20,55,-1002.7,-1.3736,-135205.0,-1.8521
EURJPY,15,25,150,-10,55,-947.7,-1.2982,-121740.0,-1.6677
EURJPY,15,25,150,0,55,-582.7,-0.7982,-71059.0,-0.9734
EURJPY,15,25,150,10,55,-702.7,-0.9626,-87022.0,-1.1921
EURJPY,15,25,150,20,55,-807.7,-1.1064,-94807.0,-1.2987
EURJPY,15,25,200,-20,55,-1159.8,-1.5888,-155628.0,-2.1319
EURJPY,15,25,200,-10,55,-1054.8,-1.4449,-135663.0,-1.8584
EURJPY,15,25,200,0,55,-764.8,-1.0477,-94732.0,-1.2977
EURJPY,15,25,200,10,55,-884.8,-1.2121,-110695.0,-1.5164
EURJPY,15,25,200,20,55,-939.8,-1.2874,-111980.0,-1.534
EURJPY,15,25,250,-20,55,-1304.5,-1.787,-174439.0,-2.3896
EURJPY,15,25,250,-10,55,-1149.5,-1.5747,-147974.0,-2.027
EURJPY,15,25,250,0,55,-852.6,-1.1679,-106146.0,-1.4541
EURJPY,15,25,250,10,55,-972.6,-1.3323,-122109.0,-1.6727
EURJPY,15,25,250,20,55,-1023.8,-1.4025,-122900.0,-1.6836
EURJPY,15,25,300,-20,55,-1375.1,-1.8837,-183617.0,-2.5153
EURJPY,15,25,300,-10,55,-1170.1,-1.6029,-150652.0,-2.0637
EURJPY,15,25,300,0,55,-873.9,-1.1971,-108915.0,-1.492
EURJPY,15,25,300,10,55,-993.9,-1.3615,-124878.0,-1.7107
EURJPY,15,25,300,20,55,-1045.1,-1.4316,-125669.0,-1.7215
EURJPY,15,25,350,-20,55,-1416.3,-1.9401,-188973.0,-2.5887
EURJPY,15,25,350,-10,55,-1161.3,-1.5908,-149508.0,-2.0481
EURJPY,15,25,350,0,55,-865.1,-1.1851,-107771.0,-1.4763
EURJPY,15,25,350,10,55,-985.1,-1.3495,-123734.0,-1.695
EURJPY,15,25,350,20,55,-1036.3,-1.4196,-124525.0,-1.7058
