buy_tp_above_yh_pips,sell_sl_above_yh_pips,sell_tp_after_buy_below_yh_pips,above_pivot_days,closed_legs,weighted_total_pips,weighted_buy_pips,weighted_sell_pips,cal_ppd_weighted
50,300,10,3430,6860,-9329.246,-7157.8,-2171.446,-1.3231
50,250,10,3430,6860,-9346.518,-7157.8,-2188.718,-1.3256
20,400,30,3430,6860,-9348.807,-6651.2,-2697.607,-1.3259
40,400,10,3430,6860,-9388.538,-8894.0,-494.538,-1.3315
50,400,30,3430,6860,-9392.873,-7157.8,-2235.073,-1.3321
125,200,50,3430,6860,-9412.118,-5356.5,-4055.618,-1.3349
20,400,40,3430,6860,-9414.085,-6651.2,-2762.885,-1.3351
20,250,50,3430,6860,-9421.324,-6651.2,-2770.124,-1.3362
125,200,40,3430,6860,-9423.675,-5356.5,-4067.175,-1.3365
125,200,30,3430,6860,-9440.693,-5356.5,-4084.193,-1.3389
50,300,75,3430,6860,-9441.514,-7157.8,-2283.714,-1.339
20,300,30,3430,6860,-9446.597,-6651.2,-2795.397,-1.3398
30,100,40,3430,6860,-9447.414,-7798.7,-1648.714,-1.3399
0,50,30,3430,6860,-9448.931,-9785.1,336.169,-1.3401
30,400,0,3430,6860,-9449.954,-7798.7,-1651.254,-1.3402
100,200,0,3430,6860,-9456.161,-5780.4,-3675.761,-1.3411
100,200,50,3430,6860,-9472.417,-5780.4,-3692.017,-1.3434
100,200,40,3430,6860,-9473.179,-5780.4,-3692.779,-1.3435
30,250,0,3430,6860,-9482.466,-7798.7,-1683.766,-1.3448
30,100,50,3430,6860,-9489.197,-7798.7,-1690.497,-1.3458
20,150,40,3430,6860,-9491.682,-6651.2,-2840.482,-1.3461
100,200,20,3430,6860,-9511.025,-5780.4,-3730.625,-1.3489
20,300,40,3430,6860,-9511.875,-6651.2,-2860.675,-1.349
40,300,10,3430,6860,-9518.078,-8894.0,-624.078,-1.3499
30,400,30,3430,6860,-9520.693,-7798.7,-1721.993,-1.3503
50,300,30,3430,6860,-9522.413,-7157.8,-2364.613,-1.3505
40,150,30,3430,6860,-9527.603,-8894.0,-633.603,-1.3512
40,250,10,3430,6860,-9535.35,-8894.0,-641.35,-1.3523
50,250,75,3430,6860,-9541.336,-7157.8,-2383.536,-1.3532
125,200,20,3430,6860,-9542.293,-5356.5,-4185.793,-1.3533
0,50,75,3430,6860,-9546.213,-9785.1,238.887,-1.3539
20,250,30,3430,6860,-9552.769,-6651.2,-2901.569,-1.3548
50,250,30,3430,6860,-9565.085,-7157.8,-2407.285,-1.3566
30,300,0,3430,6860,-9579.494,-7798.7,-1780.794,-1.3586
50,150,50,3430,6860,-9585.405,-7157.8,-2427.605,-1.3594
100,200,100,3430,6860,-9585.701,-5780.4,-3805.301,-1.3595
20,200,75,3430,6860,-9598.108,-6651.2,-2946.908,-1.3612
10,400,75,3430,6860,-9605.168,-7943.5,-1661.668,-1.3622
125,200,0,3430,6860,-9608.333,-5356.5,-4251.833,-1.3627
10,150,75,3430,6860,-9612.661,-7943.5,-1669.161,-1.3633
75,200,50,3430,6860,-9627.578,-6374.6,-3252.978,-1.3654
20,250,40,3430,6860,-9630.747,-6651.2,-2979.547,-1.3659
100,200,10,3430,6860,-9631.421,-5780.4,-3851.021,-1.366
100,200,75,3430,6860,-9633.199,-5780.4,-3852.799,-1.3662
125,200,10,3430,6860,-9643.893,-5356.5,-4287.393,-1.3677
30,300,30,3430,6860,-9650.233,-7798.7,-1851.533,-1.3686
50,400,50,3430,6860,-9659.319,-7157.8,-2501.519,-1.3699
75,200,40,3430,6860,-9667.71,-6374.6,-3293.11,-1.3711
