pair,date,regime,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
EURJPY,2016-06-07,ABOVE,SELL1,SELL,130.0,122.098,122.131,TP,-3.3,-429.0,98352,98364
EURJPY,2016-06-08,BELOW,SELL1,SELL,100.0,121.843,121.455,TP,38.8,3880.0,98376,98377
EURJPY,2016-06-08,BELOW,BUY1,BUY,130.0,121.843,121.855,TP,1.2,156.0,98376,98379
EURJPY,2016-06-09,ABOVE,BUY1,BUY,100.0,121.752,121.33,SL,-42.2,-4220.0,98400,98407
EURJPY,2016-06-09,ABOVE,SELL1,SELL,130.0,121.752,121.33,TP,42.2,5486.0,98400,98407
EURJPY,2016-06-10,ABOVE,BUY1,BUY,100.0,121.139,120.324,SL,-81.5,-8150.0,98424,98441
EURJPY,2016-06-10,ABOVE,SELL1,SELL,130.0,121.139,120.324,TP,81.5,10595.0,98424,98441
EURJPY,2016-06-11,BELOW,SELL1,SELL,100.0,120.321,119.71,TP,61.1,6110.0,98448,98495
EURJPY,2016-06-11,BELOW,BUY1,BUY,130.0,120.321,120.11,TP,-21.1,-2743.0,98448,98510
EURJPY,2016-06-13,BELOW,SELL1,SELL,100.0,119.665,119.323,TP,34.2,3420.0,98496,98497
EURJPY,2016-06-13,BELOW,BUY1,BUY,130.0,119.665,119.723,TP,5.8,754.0,98496,98504
EURJPY,2016-06-14,ABOVE,BUY1,BUY,100.0,119.859,119.0,SL,-85.9,-8590.0,98520,98527
EURJPY,2016-06-14,ABOVE,SELL1,SELL,130.0,119.859,119.0,TP,85.9,11167.0,98520,98527
EURJPY,2016-06-15,BELOW,SELL1,SELL,100.0,118.923,118.312,TP,61.1,6110.0,98544,98570
EURJPY,2016-06-15,BELOW,BUY1,BUY,130.0,118.923,115.512,SL,-341.1,-44343.0,98544,98582
EURJPY,2016-06-16,ABOVE,BUY1,BUY,100.0,119.239,118.717,SL,-52.2,-5220.0,98568,98570
EURJPY,2016-06-16,ABOVE,SELL1,SELL,130.0,119.239,118.717,TP,52.2,6786.0,98568,98570
EURJPY,2016-06-17,ABOVE,BUY1,BUY,100.0,118.091,119.441,TP,135.0,13500.0,98592,98745
EURJPY,2016-06-17,ABOVE,SELL1,SELL,130.0,118.091,119.041,TP,-95.0,-12350.0,98592,98759
EURJPY,2016-06-18,BELOW,SELL1,SELL,100.0,117.423,118.095,SL,-67.2,-6720.0,98616,98661
EURJPY,2016-06-18,BELOW,BUY1,BUY,130.0,117.423,118.095,TP,67.2,8736.0,98616,98661
EURJPY,2016-06-20,ABOVE,BUY1,BUY,100.0,118.718,119.116,TP,39.8,3980.0,98664,98668
EURJPY,2016-06-20,ABOVE,SELL1,SELL,130.0,118.718,118.716,TP,0.2,26.0,98664,98670
