entry_below_yh_pips,buy_tp_above_yh_pips,sell_buy_ratio,buy_size,sell_size,trade_days,filled_days,filled_day_rate,buy_wins,buy_losses,sell_wins,sell_losses,sell_time_exits,weighted_buy_pips,weighted_sell_pips,weighted_total_pips,cal_ppd_weighted
30,125,1.4,100.0,140.0,7051,3704,0.525316,1362,2322,1725,1959,3666,964030.0,-995806.0,-31776.0,-4.5066
20,125,1.0,100.0,100.0,7051,3818,0.541483,1439,2354,1743,2050,3773,740510.0,-776800.0,-36290.0,-5.1468
30,150,1.5,100.0,150.0,7051,3704,0.525316,1362,2322,1725,1959,3666,1022280.0,-1066935.0,-44655.0,-6.3331
30,50,1.1,100.0,110.0,7051,3704,0.525316,1407,2277,1725,1959,3666,737660.0,-782419.0,-44759.0,-6.3479
40,0,1.4,100.0,140.0,7051,3507,0.497376,1483,2008,1669,1822,3477,339220.0,-387912.0,-48692.0,-6.9057
25,125,1.4,100.0,140.0,7051,3787,0.537087,1408,2355,1760,2003,3744,747290.0,-805560.0,-58270.0,-8.2641
30,75,1.27,100.0,127.0,7051,3704,0.525316,1374,2310,1725,1959,3666,843230.0,-903338.3,-60108.3,-8.5248
25,100,1.27,100.0,127.0,7051,3787,0.537087,1412,2351,1760,2003,3744,664550.0,-730758.0,-66208.0,-9.3899
25,75,1.1,100.0,110.0,7051,3787,0.537087,1420,2343,1760,2003,3744,566340.0,-632940.0,-66600.0,-9.4455
20,150,1.1,100.0,110.0,7051,3818,0.541483,1437,2356,1743,2050,3773,786970.0,-854480.0,-67510.0,-9.5745
30,30,1.1,100.0,110.0,7051,3704,0.525316,1486,2198,1725,1959,3666,711470.0,-782419.0,-70949.0,-10.0623
25,150,1.5,100.0,150.0,7051,3787,0.537087,1407,2356,1760,2003,3744,790250.0,-863100.0,-72850.0,-10.3319
