date,side,outcome,pips
2007-07-03,BUY,SL,-12.375000000001023
2007-07-04,BUY,TIME_WIN,66.8750000000008
2007-07-05,SELL,TIME_LOSS,-9.558333333331802
2007-07-06,SELL,SL,-17.24999999999943
2007-07-09,SELL,SL,-9.027500000000032
2008-01-04,BUY,SL,-107.43750000000125
2008-01-06,BUY,TIME_WIN,20.5833333333336
2008-01-07,SELL,SL,-15.039999999999964
2008-01-09,BUY,TP,75.40880000000152
2009-01-02,BUY,TIME_WIN,140.758333333334
2009-01-05,SELL,TP,69.53120000000064
2009-01-06,BUY,SL,-71.0374999999994
2009-01-07,SELL,SL,-64.70000000000147
2009-01-08,BUY,SL,-66.16249999999957
2009-01-09,BUY,SL,-76.39999999999907
2009-01-12,BUY,SL,-27.909999999999457
2009-01-13,BUY,SL,-81.59999999999974
2009-01-14,SELL,SL,-77.69999999999959
2009-01-15,BUY,SL,-104.51250000000078
2009-01-16,SELL,SL,-79.81249999999937
2009-01-19,SELL,TP,109.71929000000154
2009-01-21,BUY,SL,-112.7999999999995
2009-01-22,SELL,TIME_WIN,23.816666666664844
2009-01-23,BUY,SL,-88.58750000000077
2009-01-26,BUY,TP,106.48661000000084
2009-01-27,SELL,SL,-130.6750000000003
2009-01-28,SELL,TIME_LOSS,-38.904166666668004
2009-01-29,SELL,TP,177.8994499999987
2009-02-02,BUY,SL,-33.987500000000125
2009-02-03,SELL,SL,-94.11249999999944
2009-02-04,SELL,TP,164.6748499999992
2009-02-05,BUY,TP,205.4507000000006
2009-02-06,SELL,SL,-148.7125000000001
2009-02-09,BUY,SL,-40.00000000000006
2009-02-10,BUY,SL,-96.55000000000007
2009-02-11,BUY,TIME_LOSS,-32.90833333333245
2009-02-12,BUY,SL,-45.52500000000015
2009-02-13,SELL,SL,-74.93749999999955
2009-02-16,BUY,SL,-43.99750000000131
2009-02-17,SELL,TP,76.51085000000018
2009-02-18,BUY,TP,130.14394999999917
2009-02-19,SELL,SL,-69.57499999999987
2009-02-20,BUY,TIME_WIN,150.2916666666669
2009-02-23,BUY,SL,-18.875000000000796
2009-02-24,BUY,TP,210.22625
2009-02-25,SELL,TIME_WIN,16.995833333331746
2009-02-26,SELL,SL,-67.94999999999993
2009-02-27,BUY,SL,-74.93749999999955
2009-03-02,BUY,SL,-43.18499999999921
2009-03-03,BUY,TP,118.75609999999932
2009-03-04,BUY,TP,169.8177500000005
2009-03-05,SELL,TP,239.61425000000014
2009-03-06,BUY,TIME_WIN,115.95833333333212
2009-03-09,SELL,SL,-18.809999999998638
2009-03-10,SELL,SL,-49.587499999999295
2009-03-11,BUY,SL,-47.15000000000009
2009-03-12,BUY,SL,-57.71250000000043
2009-03-13,SELL,SL,-140.42499999999995
2009-03-16,SELL,SL,-36.45750000000112
2009-03-17,SELL,TIME_LOSS,-70.77083333333383
2009-03-18,SELL,SL,-48.61249999999961
2009-03-19,SELL,TP,160.2666499999989
2009-03-20,SELL,SL,-70.71249999999998
2009-03-23,SELL,SL,-24.887500000000728
2009-03-24,SELL,SL,-63.562500000001364
2009-03-25,BUY,SL,-101.42500000000132
2009-03-26,SELL,SL,-69.5750000000013
2009-03-27,SELL,TP,114.71524999999951
2009-03-30,SELL,TP,80.55169999999998
2009-03-31,SELL,SL,-135.87499999999955
2009-04-01,SELL,TIME_WIN,95.69999999999845
2009-04-02,SELL,SL,-60.149999999999636
2009-04-03,SELL,TIME_LOSS,-132.1333333333323
2009-04-06,SELL,SL,-36.55499999999938
2009-04-07,BUY,SL,-119.46250000000111
2009-04-08,BUY,SL,-84.2000000000022
2009-04-09,SELL,TIME_WIN,85.28333333333558
2009-04-10,BUY,TIME_WIN,13.170833333335509
2009-04-13,BUY,SL,-13.674999999998704
2009-04-14,SELL,TP,197.36899999999957
2009-04-15,BUY,SL,-110.0375000000023
2009-04-16,SELL,TP,137.49095000000204
2009-04-17,BUY,SL,-87.44999999999925
2009-04-20,BUY,SL,-15.1050000000007
2009-04-21,BUY,TIME_WIN,97.0125000000001
2009-04-22,BUY,TIME_WIN,77.44583333333333
2009-04-23,SELL,SL,-62.74999999999926
2009-04-24,SELL,TIME_LOSS,-8.77916666666556
2009-04-27,BUY,SL,-28.592500000000086
2009-04-28,BUY,SL,-91.67500000000024
2009-04-30,SELL,SL,-110.6874999999983
2009-05-01,SELL,SL,-77.21249999999975
2009-05-04,SELL,SL,-23.100000000000364
2009-05-05,SELL,TP,111.77645000000405
2009-05-06,BUY,SL,-51.37499999999966
2009-05-07,SELL,SL,-84.5250000000002
2009-05-08,SELL,SL,-93.94999999999902
2009-05-11,SELL,TP,43.81670000000122
2009-05-12,BUY,SL,-86.63750000000141
2009-05-13,BUY,SL,-93.46249999999918
2009-05-14,BUY,TIME_WIN,142.7250000000006
2009-05-15,SELL,TP,166.14424999999835
2009-05-18,BUY,SL,-25.960000000000093
2009-05-19,SELL,SL,-124.8250000000022
2009-05-20,BUY,SL,-55.76250000000107
2009-05-21,BUY,TIME_WIN,73.88750000000266
2009-05-22,SELL,SL,-54.624999999999545
2009-05-25,BUY,TP,30.95944999999938
2009-05-26,SELL,TP,98.18450000000121
2009-05-27,SELL,TP,140.79709999999943
2009-05-28,SELL,SL,-60.149999999999636
2009-05-29,SELL,TIME_LOSS,-15.162499999997635
2009-06-01,BUY,SL,-17.477499999999168
2009-06-02,SELL,TIME_WIN,30.93333333333328
2009-06-03,SELL,SL,-55.43750000000023
2009-06-04,SELL,TIME_WIN,3.4208333333330074
2009-06-05,SELL,SL,-55.274999999998386
2009-06-08,SELL,TP,52.63310000000183
2009-06-09,BUY,SL,-65.67499999999973
2009-06-10,SELL,SL,-51.37499999999966
