pair,date,regime,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
EURUSD,2018-03-24,ABOVE,SELL2,SELL,130.0,1.24166,1.23533,TP,63.3,8229.0,122342,122392
EURUSD,2018-03-26,BELOW,SELL1,SELL,100.0,1.23541,1.23673,SL,-13.2,-1320.0,122331,122331
EURUSD,2018-03-26,BELOW,BUY1,BUY,130.0,1.23541,1.23673,TP,13.2,1716.0,122331,122331
EURUSD,2018-03-27,ABOVE,BUY1,BUY,100.0,1.2457,1.23517,SL,-105.3,-10530.0,122355,122392
EURUSD,2018-03-27,ABOVE,SELL1,SELL,130.0,1.2457,1.23517,TP,105.3,13689.0,122355,122392
EURUSD,2018-03-28,BELOW,SELL1,SELL,100.0,1.24086,1.23523,TP,56.3,5630.0,122379,122392
EURUSD,2018-03-28,BELOW,BUY1,BUY,130.0,1.24086,1.23923,TP,-16.3,-2119.0,122379,122727
EURUSD,2018-03-28,BELOW,BUY2,BUY,130.0,1.23765,1.23923,TP,15.8,2054.0,122392,122727
EURUSD,2018-03-29,BELOW,SELL1,SELL,100.0,1.23124,1.22801,TP,32.3,3230.0,122403,122536
EURUSD,2018-03-29,BELOW,BUY1,BUY,130.0,1.23124,1.23201,TP,7.7,1001.0,122403,122680
EURUSD,2018-03-29,BELOW,BUY2,BUY,130.0,1.23215,1.23201,TP,-1.4,-182.0,122536,122680
EURUSD,2018-03-30,BELOW,SELL1,SELL,100.0,1.23018,1.23352,SL,-33.4,-3340.0,122427,122510
EURUSD,2018-03-30,BELOW,BUY1,BUY,130.0,1.23018,1.23352,TP,33.4,4342.0,122427,122510
EURUSD,2018-03-31,ABOVE,BUY1,BUY,100.0,1.232,1.22898,SL,-30.2,-3020.0,122451,122514
EURUSD,2018-03-31,ABOVE,SELL1,SELL,130.0,1.232,1.22898,TP,30.2,3926.0,122451,122514
EURUSD,2018-04-02,BELOW,SELL1,SELL,100.0,1.23127,1.2323,SL,-10.3,-1030.0,122499,122500
EURUSD,2018-04-02,BELOW,BUY1,BUY,130.0,1.23127,1.2323,TP,10.3,1339.0,122499,122500
EURUSD,2018-04-03,BELOW,SELL1,SELL,100.0,1.22931,1.2262,TP,31.1,3110.0,122523,122536
EURUSD,2018-04-03,BELOW,BUY1,BUY,130.0,1.22931,1.2302,TP,8.9,1157.0,122523,122555
EURUSD,2018-04-03,BELOW,BUY2,BUY,130.0,1.22449,1.2302,TP,57.1,7423.0,122583,122679
EURUSD,2018-04-04,BELOW,SELL1,SELL,100.0,1.22781,1.22337,TP,44.4,4440.0,122547,122585
EURUSD,2018-04-04,BELOW,BUY1,BUY,130.0,1.22781,1.22737,TP,-4.4,-572.0,122547,122608
EURUSD,2018-04-04,BELOW,BUY2,BUY,130.0,1.22352,1.22737,TP,38.5,5005.0,122585,122608
EURUSD,2018-04-05,ABOVE,BUY1,BUY,100.0,1.22873,1.2257,SL,-30.3,-3030.0,122571,122578
EURUSD,2018-04-05,ABOVE,SELL1,SELL,130.0,1.22873,1.2257,TP,30.3,3939.0,122571,122578
EURUSD,2018-04-06,BELOW,SELL1,SELL,100.0,1.22489,1.22901,SL,-41.2,-4120.0,122595,122614
EURUSD,2018-04-06,BELOW,BUY1,BUY,130.0,1.22489,1.22901,TP,41.2,5356.0,122595,122614
EURUSD,2018-04-07,ABOVE,BUY1,BUY,100.0,1.22792,1.23107,TP,31.5,3150.0,122619,122679
EURUSD,2018-04-07,ABOVE,SELL1,SELL,130.0,1.22792,1.22707,TP,8.5,1105.0,122619,122944
EURUSD,2018-04-07,ABOVE,SELL2,SELL,130.0,1.23151,1.22707,TP,44.4,5772.0,122680,122944
EURUSD,2018-04-09,BELOW,SELL1,SELL,100.0,1.22709,1.22833,SL,-12.4,-1240.0,122667,122672
EURUSD,2018-04-09,BELOW,BUY1,BUY,130.0,1.22709,1.22833,TP,12.4,1612.0,122667,122672
EURUSD,2018-04-10,ABOVE,BUY1,BUY,100.0,1.23206,1.23508,TP,30.2,3020.0,122691,122702
EURUSD,2018-04-10,ABOVE,SELL1,SELL,130.0,1.23206,1.23108,TP,9.8,1274.0,122691,122752
EURUSD,2018-04-10,ABOVE,SELL2,SELL,130.0,1.2360200000000001,1.23108,TP,49.4,6422.0,122702,122752
EURUSD,2018-04-11,ABOVE,BUY1,BUY,100.0,1.23627,1.23027,SL,-60.0,-6000.0,122715,122752
EURUSD,2018-04-11,ABOVE,SELL1,SELL,130.0,1.23627,1.23027,TP,60.0,7800.0,122715,122752
EURUSD,2018-04-12,ABOVE,BUY1,BUY,100.0,1.23719,1.2347,SL,-24.9,-2490.0,122739,122747
EURUSD,2018-04-12,ABOVE,SELL1,SELL,130.0,1.23719,1.2347,TP,24.9,3237.0,122739,122747
EURUSD,2018-04-13,BELOW,SELL1,SELL,100.0,1.23293,1.23797,SL,-50.4,-5040.0,122763,122847
EURUSD,2018-04-13,BELOW,BUY1,BUY,130.0,1.23293,1.23797,TP,50.4,6552.0,122763,122847
EURUSD,2018-04-14,ABOVE,BUY1,BUY,100.0,1.23282,1.23658,TP,37.6,3760.0,122787,122843
EURUSD,2018-04-14,ABOVE,SELL1,SELL,130.0,1.23282,1.23258,TP,2.4,312.0,122787,122938
EURUSD,2018-04-14,ABOVE,SELL2,SELL,130.0,1.2407,1.23258,TP,81.2,10556.0,122866,122938
EURUSD,2018-04-16,ABOVE,BUY1,BUY,100.0,1.23316,1.23566,TP,25.0,2500.0,122835,122842
EURUSD,2018-04-16,ABOVE,SELL1,SELL,130.0,1.23316,1.23166,TP,15.0,1950.0,122835,122939
EURUSD,2018-04-17,ABOVE,BUY1,BUY,100.0,1.23837,1.23242,SL,-59.5,-5950.0,122859,122939
