side,bucket,bin,trades,wins,losses,avg_win_pips,avg_loss_pips,expectancy_pips,avg_r,sum_win_pips,sum_loss_pips,indicator,win_rate,rr_ratio,profit_factor
BUY,05-10%,Q1,45,39,6,7.075213675213633,49.746388888889435,-0.501000000000109,-0.026840564776881386,275.9333333333317,298.4783333333366,bbz20,0.8666666666666667,0.14222567372712033,0.9244668792262822
BUY,10-15%,Q3,49,37,12,14.828828828828453,46.803611111111074,-0.2648299319730645,-0.05247807002003059,548.6666666666528,561.6433333333329,bbz20,0.7551020408163265,0.31683087002891797,0.9768951825891637
BUY,15-20%,Q1,88,61,27,21.47923497267748,72.82234567901213,-7.454204545454558,-0.015947809447261995,1310.2333333333263,1966.2033333333275,bbz20,0.6931818181818182,0.2949539014762599,0.6663773329648833
BUY,20-25%,Q4,43,24,19,29.316666666666947,31.179122807017666,2.585968992248162,-0.09133270789543871,703.6000000000067,592.4033333333357,bbz20,0.5581395348837209,0.9402659224289811,1.1877043230681865
BUY,25-30%,Q1,84,44,40,37.7651515151515,49.52408333333344,-3.801150793650854,-0.013167536089485827,1661.666666666666,1980.9633333333375,bbz20,0.5238095238095238,0.7625613433562073,0.838817477691828
BUY,30-35%,Q1,43,22,21,52.06818181818194,35.86420634920635,9.124457364341145,0.15715554922487934,1145.5000000000027,753.1483333333333,bbz20,0.5116279069767442,1.4518146954431121,1.5209487285594507
SELL,00-05%,Q4,54,43,11,1.9945736434108523,5.490606060606436,0.4698148148147381,-0.015577866288511422,85.76666666666665,60.3966666666708,bbz20,0.7962962962962963,0.36327021487142575,1.4200562944973916
SELL,05-10%,Q5,37,33,4,6.015151515151982,46.14750000000127,0.3759459459462247,0.0056034177563922425,198.5000000000154,184.5900000000051,bbz20,0.8918918918918919,0.1303462054315362,1.0753561948101735
SELL,10-15%,Q5,61,53,8,13.122641509433882,47.46812499999946,5.176311475409836,0.09611719272670464,695.4999999999957,379.7449999999957,bbz20,0.8688524590163934,0.2764516506483884,1.8314921855455728
SELL,15-20%,Q2,59,48,11,16.515277777777822,37.181363636362626,6.504039548022824,0.1536691837940601,792.7333333333355,408.99499999998886,bbz20,0.8135593220338984,0.444181605045443,1.9382470038346609
SELL,20-25%,Q1,36,24,12,26.495833333333525,42.60819444444345,3.461157407407868,0.06535163437076805,635.9000000000046,511.2983333333214,bbz20,0.6666666666666666,0.6218483012201156,1.2436966024402312
SELL,25-30%,Q4,78,43,35,30.62248062015478,28.575904761904884,4.059102564102365,0.05858174304619442,1316.7666666666555,1000.156666666671,bbz20,0.5512820512820513,1.0716189347389702,1.316560405536449
SELL,30-35%,Q4,30,18,12,42.427777777777266,25.524861111111207,15.246722222221877,0.3580430339925966,763.6999999999907,306.2983333333345,bbz20,0.6,1.6622138546841323,2.4933207820261982
BUY,00-05%,Q3,33,23,10,1.8739130434784521,0.5266666666667277,1.1464646464647612,0.016541832784740803,43.1000000000044,5.266666666667277,cci20,0.696969696969697,3.558062740781459,8.183544303797357
BUY,05-10%,Q1,45,38,7,7.155263157894784,44.35690476190511,-0.8577407407407551,-0.05052328412324802,271.9000000000018,310.4983333333358,cci20,0.8444444444444444,0.16131114639991548,0.8756890804566841
BUY,10-15%,Q3,49,39,10,14.854700854700718,49.51916666666639,1.7171768707482469,0.0025194071682607044,579.333333333328,495.19166666666393,cci20,0.7959183673469388,0.2999788133490561,1.1699173720613187
BUY,15-20%,Q5,30,25,5,15.429333333332977,29.35866666666675,7.964666666666356,0.16969303392899224,385.7333333333244,146.79333333333375,cci20,0.8333333333333334,0.5255461192606249,2.6277305963031248
BUY,20-25%,Q4,52,32,20,29.25625000000005,38.774916666666904,3.090416666666604,0.015390356079161718,936.2000000000016,775.4983333333381,cci20,0.6153846153846154,0.7545148388455563,1.20722374215289
BUY,25-30%,Q3,32,20,12,40.880000000000024,40.65444444444444,10.304583333333351,0.18764139332763985,817.6000000000005,487.85333333333324,cci20,0.625,1.0055481155538557,1.6759135259230928
BUY,30-35%,Q1,31,16,15,54.38124999999994,34.75611111111084,11.2502688172044,0.1762442195295671,870.099999999999,521.3416666666626,cci20,0.5161290322580645,1.5646528987708102,1.6689630920221974
SELL,00-05%,Q2,50,29,21,3.540229885057262,2.345714285713958,1.0681333333333498,-0.0003466503139414866,102.6666666666606,49.25999999999311,cci20,0.58,1.5092332031305906,2.0841791852755778
SELL,05-10%,Q1,32,29,3,7.817241379310352,40.941666666667196,3.2460937499999574,0.0328129890552306,226.70000000000022,122.82500000000158,cci20,0.90625,0.19093608091130268,1.8457154488092595
SELL,10-15%,Q5,59,51,8,11.265359477124196,42.06062499999901,4.03471751412444,0.08525814248116745,574.533333333334,336.48499999999206,cci20,0.864406779661017,0.2678362358411094,1.7074560034870723
SELL,15-20%,Q5,67,56,11,15.885119047618778,48.65484848484892,5.289004975124082,0.1822021292231671,889.5666666666516,535.2033333333382,cci20,0.835820895522388,0.3264858393827984,1.6621097277669739
SELL,20-25%,Q5,83,55,28,30.346666666666724,51.026011904761745,2.895642570281213,0.08137404299840692,1669.0666666666698,1428.728333333329,cci20,0.6626506024096386,0.5947293455602156,1.1682183573504235
